央视频道
CCTV-10,CCTV-10科教
CCTV-11,CCTV-11戏曲
CCTV-12,CCTV-12社会与法
CCTV-13,CCTV-13新闻
CCTV-14,CCTV-14少儿
CCTV-15,CCTV-15音乐
CCTV-16,CCTV-16奥林匹克
CCTV-16-4K,CCTV-16奥林匹克4K
CCTV-17,CCTV-17农业农村
CCTV-1,CCTV-1综合
CCTV-1,CCTV-1综艺
CCTV-2,CCTV-2财经
CCTV-3,CCTV-3综合
CCTV-3,CCTV-3综艺
CCTV-4,CCTV-4
CCTV-4K,CCTV-4K超高清
CCTV-4,CCTV-4中文国际
CCTV-4-欧洲,CCTV-4欧洲,CCTV-4 欧洲,CCTV-4中文国际 欧洲
CCTV-4-美洲,CCTV-4美洲,CCTV-4 美洲,CCTV-4中文国际 美洲
CCTV-4-北美,CCTV-4 北美
CCTV-5+,CCTV-5+体育赛事
CCTV-5,CCTV-5体育
CCTV-6,CCTV-6电影
CCTV-7,CCTV-7国防军事
CCTV-7,CCTV-7国防科技
CCTV-8,CCTV-8电视剧
CCTV-9,CCTV-9纪录
CCTV-世界地理,CCTV-世界地理
CCTV-兵器科技,CCTV-兵器科技
CCTV-央视台球,CCTV-央视台球
CCTV-女性时尚,CCTV-女性时尚
CCTV-怀旧剧场,CCTV-怀旧剧场
CCTV-文化精品,CCTV-文化精品
CCTV-电视指南,CCTV-电视指南
CCTV-第一剧场,CCTV-第一剧场
CCTV-风云剧场,CCTV-风云剧场
CCTV-风云足球,CCTV-风云足球
CCTV-风云音乐,CCTV-风云音乐
CCTV-高尔夫网球,CCTV-高尔夫·网球
CCTV-高尔夫网球,CCTV-高尔夫网球
CCTV-4K,CCTV4K超,CCTV 4K
CCTV-4K,CCTV4K超高清
CCTV-5+,CCTV5+体育赛事
CCTV-世界地理,CCTV世界地理
CCTV-兵器科技,CCTV兵器科技
CCTV-卫生健康,CCTV卫生健康
CCTV-央视台球,CCTV央视台球
CCTV-文化精品,CCTV央视文化精品
CCTV-女性时尚,CCTV女性时尚
CCTV-怀旧剧场,CCTV怀旧剧场
CCTV-电视指南,CCTV电视指南
CCTV-第一剧场,CCTV第一剧场
CCTV-风云剧场,CCTV风云剧场
CCTV-风云足球,CCTV风云足球
CCTV-风云音乐,CCTV风云音乐
CCTV-高尔夫网球,CCTV高尔夫网球

卫视频道
三沙卫视,三沙卫视
上海卫视,上海卫视
东南卫视,东南卫视
东方卫视,东方卫视
云南卫视,云南卫视
兵团卫视,兵团卫视
内蒙古卫视,内蒙卫视
农林卫视,农林卫视
凤凰卫视,凤凰卫视
凤凰中文,凤凰卫视中文台
凤凰电影,凤凰卫视电影台
凤凰资讯,凤凰卫视资讯台
北京卫视,北京卫视
北京卫视-4K,北京卫视4K超
北京卫视-4K,北京卫视4K超高清
厦门卫视,厦门卫视
吉林卫视,吉林卫视
四川卫视,四川卫视,四川卫视超清
大湾区卫视,大湾区卫视
天津卫视,天津卫视
宁夏卫视,宁夏卫视
安多卫视,安多卫视
安徽卫视,安徽卫视
山东卫视,山东卫视,山东卫视超清
山东教育卫视,山东教育卫视
山西卫视,山西卫视
平潭卫视,平潭卫视
广东卫视,广东卫视
大湾区卫视,广东大湾区卫视
广西卫视,广西卫视
康巴卫视,康巴卫视
延边卫视,延边卫视
新疆卫视,新疆卫视
新疆卫视2,新疆卫视2
新疆卫视3,新疆卫视3
新疆卫视4,新疆卫视4
新疆卫视5,新疆卫视5
新疆卫视6,新疆卫视6
新疆卫视7,新疆卫视7
新疆卫视8,新疆卫视8
新疆卫视9,新疆卫视9
新疆卫视10,新疆卫视10
新疆卫视11,新疆卫视11
新疆卫视12,新疆卫视12
星空卫视,星空卫视
江苏卫视,江苏卫视,江苏卫视超清
江西卫视,江西卫视
河北卫视,河北卫视
河南卫视,河南卫视
浙江卫视,浙江卫视,浙江卫视超清
三沙卫视,海南三沙卫视
海南卫视,海南卫视
海峡卫视,海峡卫视
深圳卫视,深圳卫视
湖北卫视,湖北卫视
湖南卫视,湖南卫视,湖南卫视超清
湖南卫视,湖南卫视FHD
甘肃卫视,甘肃卫视
西藏卫视,西藏卫视
西藏卫视藏语,西藏卫视（藏语）
贵州卫视,贵州卫视
贵州卫视2,贵州卫视2
贵州卫视3,贵州卫视3
贵州卫视4,贵州卫视4
贵州卫视5,贵州卫视5
贵州卫视6,贵州卫视6
贵州卫视7,贵州卫视7
辽宁卫视,辽宁卫视,辽宁卫视超清
重庆卫视,重庆卫视
农林卫视,陕西农林卫视
陕西卫视,陕西卫视
青海卫视,青海卫视
黑龙江卫视,黑龙江卫视

数字频道
卡酷少儿,BRTV卡酷少儿
CETV-1,CETV-1
CETV-2,CETV-2
CETV-4,CETV-4
