更新时间,#genre#
2026/05/12 18:34,http://127.0.0.1

央视频道,#genre#
CCTV-1,http://223.167.230.73:4022/rtp/239.45.3.145:5140
CCTV-1,http://114.254.35.180:8888/rtp/239.3.1.129:8008
CCTV-1,http://114.254.36.134:8888/rtp/239.3.1.129:8008
CCTV-1,http://114.254.84.173:8888/rtp/239.3.1.129:8008
CCTV-1,http://171.8.168.12:8800/rtp/239.16.20.1:10010
CCTV-1,http://171.8.84.114:8800/rtp/239.16.20.1:10010
CCTV-1,http://112.192.72.187:8484/rtp/239.0.0.10:5140
CCTV-1,http://220.167.170.155:4000/rtp/239.120.1.119:8260
CCTV-1,http://220.167.170.155:4000/rtp/239.120.1.120:8778
CCTV-1,http://115.171.216.26:4000/rtp/225.1.8.1:8008
CCTV-1,http://115.171.216.26:4000/rtp/225.1.8.33:8002
CCTV-1,http://115.171.216.26:4000/rtp/225.1.8.53:8060
CCTV-1,http://115.171.216.26:4000/rtp/225.1.8.81:8176
CCTV-1,http://115.171.216.26:4000/rtp/225.1.8.126:8002
CCTV-1,http://115.171.216.26:4000/rtp/225.1.8.194:4120
CCTV-1,http://115.171.216.26:4000/rtp/225.1.8.210:8068
CCTV-1,http://115.171.216.46:4000/rtp/225.1.8.1:8008
CCTV-1,http://115.171.216.46:4000/rtp/225.1.8.33:8002
CCTV-1,http://115.171.216.46:4000/rtp/225.1.8.53:8060
CCTV-1,http://115.171.216.46:4000/rtp/225.1.8.81:8176
CCTV-1,http://115.171.216.46:4000/rtp/225.1.8.126:8002
CCTV-1,http://115.171.216.46:4000/rtp/225.1.8.194:4120
CCTV-1,http://115.171.216.46:4000/rtp/225.1.8.210:8068
CCTV-1,http://112.19.88.97:8899/rtp/239.11.0.65:5140
CCTV-1,http://183.220.20.17:4321/rtp/239.11.0.65:5140
CCTV-1,http://106.59.2.72:55555/udp/239.200.201.135:8880
CCTV-1,http://106.59.2.72:55555/udp/239.200.200.70:8008
CCTV-1,http://106.59.2.72:55555/udp/239.200.200.95:8044
CCTV-1,http://106.59.2.72:55555/rtp/239.200.200.2:8080
CCTV-1,http://106.59.2.72:55555/rtp/239.200.200.14:8852
CCTV-1,http://106.59.2.72:55555/rtp/239.200.201.45:8800
CCTV-1,http://106.59.2.72:55555/rtp/239.200.200.117:8712
CCTV-1,http://219.156.112.83:4022/rtp/225.1.4.73:1102
CCTV-1,http://220.172.21.89:4022/rtp/238.255.2.91:5999
CCTV-1,http://220.172.23.183:4022/rtp/238.255.2.91:5999
CCTV-1,http://61.159.134.150:8188/rtp/238.255.2.91:5999
CCTV-1,http://121.29.215.217:2083/rtp/239.253.92.83:8012
CCTV-1,http://60.4.28.155:8077/rtp/239.253.92.83:8012
CCTV-1,http://111.196.132.71:20000/rtp/239.3.1.129:8008
CCTV-1,http://123.118.53.151:8686/rtp/239.3.1.129:8008
CCTV-1,http://123.118.53.173:8686/rtp/239.3.1.129:8008
